table,column,normalized_column,missing_count,missing_rate
crashes,CRASH DATE,crash_date,0,0.0
crashes,CRASH TIME,crash_time,0,0.0
crashes,BOROUGH,borough,688620,0.30498493721106773
crashes,ZIP CODE,zip_code,688904,0.3051107188063858
crashes,LATITUDE,latitude,240728,0.10661673196384931
crashes,LONGITUDE,longitude,240728,0.10661673196384931
crashes,LOCATION,location,240728,0.10661673196384931
crashes,ON STREET NAME,on_street_name,495571,0.21948489779359595
crashes,CROSS STREET NAME,cross_street_name,864938,0.3830749348283037
crashes,OFF STREET NAME,off_street_name,1854685,0.8214268947624367
crashes,NUMBER OF PERSONS INJURED,number_of_persons_injured,18,7.972072942695853e-06
crashes,NUMBER OF PERSONS KILLED,number_of_persons_killed,31,1.3729681179087303e-05
crashes,NUMBER OF PEDESTRIANS INJURED,number_of_pedestrians_injured,0,0.0
crashes,NUMBER OF PEDESTRIANS KILLED,number_of_pedestrians_killed,0,0.0
crashes,NUMBER OF CYCLIST INJURED,number_of_cyclist_injured,0,0.0
crashes,NUMBER OF CYCLIST KILLED,number_of_cyclist_killed,0,0.0
crashes,NUMBER OF MOTORIST INJURED,number_of_motorist_injured,0,0.0
crashes,NUMBER OF MOTORIST KILLED,number_of_motorist_killed,0,0.0
crashes,CONTRIBUTING FACTOR VEHICLE 1,contributing_factor_vehicle_1,8189,0.0036268502959853526
crashes,CONTRIBUTING FACTOR VEHICLE 2,contributing_factor_vehicle_2,366598,0.16236366648035636
crashes,CONTRIBUTING FACTOR VEHICLE 3,contributing_factor_vehicle_3,2094424,0.9276056056073789
crashes,CONTRIBUTING FACTOR VEHICLE 4,contributing_factor_vehicle_4,2220493,0.9834406758191969
crashes,CONTRIBUTING FACTOR VEHICLE 5,contributing_factor_vehicle_5,2247639,0.9954634476026648
crashes,COLLISION_ID,collision_id,0,0.0
crashes,VEHICLE TYPE CODE 1,vehicle_type_code_1,16905,0.007487105172015189
crashes,VEHICLE TYPE CODE 2,vehicle_type_code_2,459388,0.2034597024999535
crashes,VEHICLE TYPE CODE 3,vehicle_type_code_3,2100878,0.9304640366502767
crashes,VEHICLE TYPE CODE 4,vehicle_type_code_4,2221859,0.9840456675769593
crashes,VEHICLE TYPE CODE 5,vehicle_type_code_5,2247962,0.9956065020226921
vehicles,UNIQUE_ID,unique_id,0,0.0
vehicles,COLLISION_ID,collision_id,0,0.0
vehicles,CRASH_DATE,crash_date,0,0.0
vehicles,CRASH_TIME,crash_time,0,0.0
vehicles,VEHICLE_ID,vehicle_id,0,0.0
vehicles,STATE_REGISTRATION,state_registration,366348,0.08089409495276387
vehicles,VEHICLE_TYPE,vehicle_type,278800,0.06156243154822891
vehicles,VEHICLE_MAKE,vehicle_make,1951221,0.43085333302714046
vehicles,VEHICLE_MODEL,vehicle_model,4477357,0.9886548917843743
vehicles,VEHICLE_YEAR,vehicle_year,1976961,0.4365370381492761
vehicles,TRAVEL_DIRECTION,travel_direction,1692268,0.37367336051383876
vehicles,VEHICLE_OCCUPANTS,vehicle_occupants,1827748,0.4035889926019092
vehicles,DRIVER_SEX,driver_sex,2341728,0.5170820290694799
vehicles,DRIVER_LICENSE_STATUS,driver_license_status,2447770,0.540497392649958
vehicles,DRIVER_LICENSE_JURISDICTION,driver_license_jurisdiction,2444342,0.539740448548999
vehicles,PRE_CRASH,pre_crash,949397,0.20963840683139842
vehicles,POINT_OF_IMPACT,point_of_impact,1727541,0.38146206800308075
vehicles,VEHICLE_DAMAGE,vehicle_damage,1756519,0.3878607629148619
vehicles,VEHICLE_DAMAGE_1,vehicle_damage_1,2724564,0.6016168749955838
vehicles,VEHICLE_DAMAGE_2,vehicle_damage_2,3150617,0.6956945602481576
vehicles,VEHICLE_DAMAGE_3,vehicle_damage_3,3455876,0.7630994608650185
vehicles,PUBLIC_PROPERTY_DAMAGE,public_property_damage,1528858,0.337590444662705
vehicles,PUBLIC_PROPERTY_DAMAGE_TYPE,public_property_damage_type,4497746,0.9931570310126269
vehicles,CONTRIBUTING_FACTOR_1,contributing_factor_1,170136,0.03756809847162652
vehicles,CONTRIBUTING_FACTOR_2,contributing_factor_2,1714612,0.37860718752428935
persons,UNIQUE_ID,unique_id,0,0.0
persons,COLLISION_ID,collision_id,0,0.0
persons,CRASH_DATE,crash_date,0,0.0
persons,CRASH_TIME,crash_time,0,0.0
persons,PERSON_ID,person_id,19,3.1956055378162073e-06
persons,PERSON_TYPE,person_type,0,0.0
persons,PERSON_INJURY,person_injury,0,0.0
persons,VEHICLE_ID,vehicle_id,248044,0.041718462106425436
persons,PERSON_AGE,person_age,670206,0.11272178974092889
persons,EJECTION,ejection,2887963,0.485725818726753
persons,EMOTIONAL_STATUS,emotional_status,2786356,0.46863656125933767
persons,BODILY_INJURY,bodily_injury,2786313,0.46862932909943633
persons,POSITION_IN_VEHICLE,position_in_vehicle,2887499,0.48564777867572423
persons,SAFETY_EQUIPMENT,safety_equipment,3099391,0.5212858443925111
persons,PED_LOCATION,ped_location,5838606,0.9819937719329965
persons,PED_ACTION,ped_action,5838707,0.9820107590992765
persons,COMPLAINT,complaint,2786306,0.46862815177108025
persons,PED_ROLE,ped_role,194889,0.03277833513997173
persons,CONTRIBUTING_FACTOR_1,contributing_factor_1,5839993,0.9822270511372572
persons,CONTRIBUTING_FACTOR_2,contributing_factor_2,5840129,0.9822499249453173
persons,PERSON_SEX,person_sex,655568,0.11025982795868923
