feature,importance_mean,importance_std
person_occupant_share,0.1626283076012306,0.0
driver_unknown_sex_share,0.010485627905371442,0.0
has_parked_precrash,0.009079458414474662,0.0
contributing_factor_vehicle_1,0.007634211420207149,0.0
latitude,0.007544099039579644,0.0
has_motorcycle_vehicle,0.004967651084107905,0.0
person_female_count,0.004750613989500718,0.0
ped_role_driver_count,0.0047270323634038824,0.0
borough,0.0046741633074655065,0.0
safety_belt_count,0.002578994989963057,0.0
person_age_valid_count,0.0024688191249599978,0.0
contributing_factor_vehicle_2,0.0023284218592231065,0.0
ped_role_passenger_count,0.002251094780762908,0.0
has_backing_precrash,0.002220620756069658,0.0
person_unknown_sex_count,0.0017740233196803512,0.0
longitude,0.0013094715534321955,0.0
has_off_street,0.001251563418062429,0.0
person_pedestrian_share,0.001223762576905263,0.0
vehicle_occupants_sum,0.0011263985055233183,0.0
vehicle_year_mean,0.0011251498333167964,0.0
crash_month,0.0009873682421556174,0.0
has_cross_street,0.0006329466057610755,0.0
vehicle_type_code_2,0.0006308848187015492,0.0
vehicle_occupants_mean,0.0005683023543947563,0.0
driver_unknown_sex_count,0.0005100482098773229,0.0
person_senior_count,0.000458116270036113,0.0
person_male_count,0.0004458921666212756,0.0
person_senior_share,0.00043003491237358915,0.0
safety_none_unknown_count,0.0004000938816931532,0.0
crash_minute,0.0003631153935190756,0.0
person_pedestrian_count,0.00034055891662609916,0.0
person_age_sum,0.0002763256668831815,0.0
person_child_share,0.0002448726289561165,0.0
vehicle_records_count,0.0002375286210003491,0.0
zip_code,0.00021241775410363317,0.0
driver_female_share,0.00018346408780345325,0.0
person_records_count,0.0001816509474280581,0.0
driver_male_share,0.00016001043423841121,0.0
driver_male_count,9.105783982554794e-05,0.0
person_other_type_count,5.4290636994913655e-05,0.0
zip_code_group,3.3749597805221576e-05,0.0
contributing_factor_vehicle_3,2.457263038002644e-05,0.0
has_sedan_vehicle,1.639280341558802e-05,0.0
contributing_factor_vehicle_4,0.0,0.0
has_coordinates,0.0,0.0
is_late_night,0.0,0.0
contributing_factor_vehicle_5,0.0,0.0
vehicle_type_code_5,0.0,0.0
is_weekend,-4.6722474754679055e-06,0.0
driver_female_count,-1.1961501782176143e-05,0.0
vehicle_type_code_4,-2.5421710942108433e-05,0.0
season,-2.953400320415689e-05,0.0
vehicle_type_code_3,-5.0617332358227074e-05,0.0
is_rush_hour,-9.427205704526376e-05,0.0
person_occupant_count,-0.0001027949451303245,0.0
has_stopped_precrash,-0.00010502198752981862,0.0
person_child_count,-0.00011418131054963254,0.0
has_merging_precrash,-0.00011555306507460283,0.0
has_bus_vehicle,-0.00011578415370572248,0.0
person_bicyclist_count,-0.0001422150318654003,0.0
has_suv_vehicle,-0.00015641786474562824,0.0
vehicle_occupants_valid_count,-0.00015684159982265466,0.0
crash_hour,-0.00019553476981060136,0.0
vehicle_year_sum,-0.0002375010891604301,0.0
crash_dayofweek,-0.00032191264038139433,0.0
has_turning_precrash,-0.0004515930863460138,0.0
vehicle_occupants_max,-0.0004564098465412725,0.0
has_emergency_vehicle,-0.0004966779933341936,0.0
person_bicyclist_share,-0.0005218054022559926,0.0
has_truck_vehicle,-0.0007480405362945142,0.0
vehicle_year_valid_count,-0.0008092313044951727,0.0
vehicle_type_code_1,-0.000816410927642619,0.0
person_age_mean,-0.0009731589239192484,0.0
has_bike_vehicle,-0.001001623804342433,0.0
has_taxi_vehicle,-0.0012380151152127095,0.0
has_going_straight_precrash,-0.005723267902497331,0.0
