feature,coefficient,abs_coefficient
num__vehicle_year_sum,-3.2157794847492376,3.2157794847492376
num__vehicle_year_valid_count,3.1810413842973038,3.1810413842973038
cat__contributing_factor_vehicle_1_lost consciousness,2.386463423859945,2.386463423859945
cat__vehicle_type_code_3_e-bike,-1.7728731931047526,1.7728731931047526
cat__contributing_factor_vehicle_1_illnes,1.702928068096626,1.702928068096626
cat__vehicle_type_code_4_moped,-1.5766923536602868,1.5766923536602868
cat__zip_code_11109,-1.3987624983440252,1.3987624983440252
cat__vehicle_type_code_2_e-scooter,-1.3113538168271743,1.3113538168271743
cat__zip_code_10278,-1.2854515084131606,1.2854515084131606
cat__vehicle_type_code_1_standing s,1.2248417338967572,1.2248417338967572
cat__vehicle_type_code_1_flat rack,-1.2210024892062807,1.2210024892062807
cat__vehicle_type_code_1_motorscooter,1.1999421274398405,1.1999421274398405
cat__vehicle_type_code_1_moped,1.1975236440947894,1.1975236440947894
cat__vehicle_type_code_1_motorbike,1.1580107947143374,1.1580107947143374
cat__vehicle_type_code_3_motorcycle,-1.1427139829718405,1.1427139829718405
cat__vehicle_type_code_1_e-scooter,-1.1227168865873625,1.1227168865873625
cat__vehicle_type_code_5_bus,1.108529984369724,1.108529984369724
cat__contributing_factor_vehicle_5_outside car distraction,-1.0993854315726541,1.0993854315726541
cat__contributing_factor_vehicle_4_pavement slippery,-1.091481868295336,1.091481868295336
cat__vehicle_type_code_3_bike,-1.0511987619635266,1.0511987619635266
cat__zip_code_10106,1.044535499086436,1.044535499086436
cat__zip_code_11359,-1.022781787993137,1.022781787993137
cat__vehicle_type_code_4_motorcycle,-0.9944666143967027,0.9944666143967027
cat__contributing_factor_vehicle_3_pedestrian/bicyclist/other pedestrian error/confusion,0.9892670483313826,0.9892670483313826
cat__vehicle_type_code_4_carry all,0.9557500883980355,0.9557500883980355
cat__contributing_factor_vehicle_5_pavement slippery,-0.9489344322339578,0.9489344322339578
cat__zip_code_10044,0.9413928551274512,0.9413928551274512
cat__contributing_factor_vehicle_5_following too closely,-0.9323346660234293,0.9323346660234293
num__person_pedestrian_count,0.9274680245013505,0.9274680245013505
cat__vehicle_type_code_3_e-scooter,-0.9187528043127475,0.9187528043127475
cat__vehicle_type_code_4_4 dr sedan,-0.9044243966407491,0.9044243966407491
cat__contributing_factor_vehicle_4_reaction to uninvolved vehicle,-0.8798895354940385,0.8798895354940385
cat__zip_code_10282,-0.8653023357825717,0.8653023357825717
cat__contributing_factor_vehicle_3_obstruction/debris,-0.8628557826779311,0.8628557826779311
cat__vehicle_type_code_3_flat bed,0.8391928060434345,0.8391928060434345
cat__contributing_factor_vehicle_4_obstruction/debris,0.8269836110917431,0.8269836110917431
num__latitude,0.8189375392522057,0.8189375392522057
num__longitude,0.8137567721926684,0.8137567721926684
cat__vehicle_type_code_3_ambulance,0.8135925964055444,0.8135925964055444
cat__contributing_factor_vehicle_1_oversized vehicle,-0.8009274012135597,0.8009274012135597
cat__contributing_factor_vehicle_1_passing too closely,-0.7996350392259777,0.7996350392259777
cat__vehicle_type_code_5_bike,-0.7940729290193397,0.7940729290193397
cat__vehicle_type_code_1_bike,-0.7785948149048892,0.7785948149048892
cat__contributing_factor_vehicle_2_fell asleep,0.7781448339662597,0.7781448339662597
cat__vehicle_type_code_4_tanker,0.7719076870027256,0.7719076870027256
num__driver_unknown_sex_share,-0.7676847255892336,0.7676847255892336
cat__vehicle_type_code_3_3-door,0.7665920208274929,0.7665920208274929
cat__zip_code_10169,0.7607503104297312,0.7607503104297312
cat__contributing_factor_vehicle_3_view obstructed/limited,0.7605792241800473,0.7605792241800473
cat__vehicle_type_code_5_soccer,0.760260293684986,0.760260293684986
cat__zip_code_10178,0.752594956572119,0.752594956572119
cat__vehicle_type_code_5_flat bed,0.7492149002002623,0.7492149002002623
cat__contributing_factor_vehicle_3_aggressive driving/road rage,-0.7409018086580622,0.7409018086580622
cat__contributing_factor_vehicle_5_reaction to uninvolved vehicle,0.7281149111245133,0.7281149111245133
cat__vehicle_type_code_2_standing s,0.727513691012176,0.727513691012176
cat__vehicle_type_code_4_dump,0.727309130025945,0.727309130025945
cat__vehicle_type_code_2_bike,-0.7247953270215647,0.7247953270215647
cat__contributing_factor_vehicle_3_pavement defective,-0.7231199366412779,0.7231199366412779
cat__vehicle_type_code_1_3-door,-0.7211670210314552,0.7211670210314552
cat__zip_code_10119,0.7042430818781964,0.7042430818781964
cat__vehicle_type_code_4_garbage or refuse,-0.7037774482944773,0.7037774482944773
cat__zip_code_10000,-0.6999444142251943,0.6999444142251943
cat__vehicle_type_code_3_motorbike,0.689272417584364,0.689272417584364
cat__vehicle_type_code_2_e-bike,-0.6829584365673305,0.6829584365673305
cat__vehicle_type_code_1_motorcycle,0.681086185670075,0.681086185670075
cat__contributing_factor_vehicle_4_traffic control disregarded,-0.6771767868452979,0.6771767868452979
cat__contributing_factor_vehicle_4_unsafe speed,0.6727793833870225,0.6727793833870225
cat__contributing_factor_vehicle_3_tinted windows,0.6395435945827899,0.6395435945827899
cat__contributing_factor_vehicle_1_obstruction/debris,-0.6376422023461176,0.6376422023461176
cat__contributing_factor_vehicle_4_failure to yield right-of-way,0.6355579177666811,0.6355579177666811
cat__contributing_factor_vehicle_5_failure to yield right-of-way,0.6355579177666811,0.6355579177666811
cat__contributing_factor_vehicle_3_other,0.6318007598997102,0.6318007598997102
cat__zip_code_11697,-0.62595950972448,0.62595950972448
cat__vehicle_type_code_3_trailer,0.6157440991844451,0.6157440991844451
cat__vehicle_type_code_4_e-bike,-0.6044991270660746,0.6044991270660746
cat__zip_code_10025,-0.6040891600423073,0.6040891600423073
cat__zip_code_10118,-0.5980009674037161,0.5980009674037161
cat__zip_code_11371,-0.5866880650205327,0.5866880650205327
cat__contributing_factor_vehicle_4_brakes defective,0.586057908171859,0.586057908171859
cat__vehicle_type_code_5_convertible,0.5859042520457064,0.5859042520457064
cat__contributing_factor_vehicle_2_cell phone (hand-held),0.5769648297192187,0.5769648297192187
cat__vehicle_type_code_4_firetruck,0.576482593178163,0.576482593178163
cat__zip_code_11375,-0.575161712673422,0.575161712673422
cat__contributing_factor_vehicle_2_brakes defective,-0.5731332721165278,0.5731332721165278
cat__zip_code_10110,0.5724788338156808,0.5724788338156808
cat__vehicle_type_code_4_school bus,-0.5722036763451052,0.5722036763451052
cat__vehicle_type_code_3_unk,-0.5505960468759947,0.5505960468759947
cat__vehicle_type_code_1_taxi,0.549755911688614,0.549755911688614
cat__vehicle_type_code_5_pick-up truck,-0.5482536148392242,0.5482536148392242
cat__vehicle_type_code_3_school bus,0.544823017763948,0.544823017763948
cat__zip_code_10153,0.5398108036581986,0.5398108036581986
cat__vehicle_type_code_3_dump,-0.5340596268752241,0.5340596268752241
cat__contributing_factor_vehicle_1_fatigued/drowsy,0.5284302257585732,0.5284302257585732
cat__vehicle_type_code_1_limo,0.52815583605226,0.52815583605226
cat__borough_manhattan,-0.5239458798855925,0.5239458798855925
num__person_child_count,-0.5232973009867017,0.5232973009867017
cat__zip_code_11363,-0.520647495034657,0.520647495034657
cat__contributing_factor_vehicle_5_oversized vehicle,0.5157320377138329,0.5157320377138329
cat__contributing_factor_vehicle_4_oversized vehicle,0.5157320377138329,0.5157320377138329
cat__vehicle_type_code_3_bus,0.5006252495850052,0.5006252495850052
cat__vehicle_type_code_1_unknown,0.49765233107993884,0.49765233107993884
cat__vehicle_type_code_3_carry all,-0.4917253408370419,0.4917253408370419
cat__zip_code_10271,-0.49169902791650666,0.49169902791650666
